reviewId,content,score
bdd267b4-4231-4a5d-b369-3ac9e5082fc5,Your device is not part of the Netflix Householde is not good police way every 14 days confirmation its truble I use it last 2 year butt now I stop it,1
ccbfabb0-606f-4596-b269-9e805ca4d89f,I've been trying to pay for a month since I created an account It never works,1
fe550ddd-1ae5-4902-9593-824ecb9b6598,"I give netflix a two because even though it is a good app with a lot of great movies and tv series on there there are multiple problems such as: the movie playing but has a loading symbol in the middle which is very distracting, you press play and it will go like 3 episodes behind what you are actually on and adverts....... I do not think i have to say anymore than adverts are annoying, i pay for netflix so therefore i expect there to be no adverts. If there were no ads i would give it a 4 star.",2
af88cca4-6b92-4bac-bc1f-ac32e2591ac7,Abdulrhamam Sekh,4
44dc9335-68e4-4f30-8c0a-241c25be252b,Good,5
cc1cfcd2-dc8a-4ead-88d1-7f2b2dbb2662,Plsssss stoppppp giving screen limit like when ur watching some thing interesting and then u suddenly cute off the screen saying screen limit how would it FEEL AHHHhhh i hate u for THIS STOP GIVING SCREEN LIMIT 😑😑😑😑😒😤😤😤😡😡,2
7dfb1f90-f185-4e81-a97f-d38f0128e5a4,Good,5
3009acc4-8554-41cf-88de-cc5e2f6e45b2,👍👍,5
873c0cc0-29bc-4f3c-a176-94c758d0331e,I'd like to see this,3
b3d27852-9a3b-4f74-9e16-15434d3ee324,Good,3
8be10073-2368-4677-b828-9ff5d06ea0b7,"App is useful to certain phone brand ,,,,it is not excepted to all the phone ,,,,I have tried so many phone to use but no results yet to be determined by me",1
9ac001b4-a47e-4aba-981f-4679345a9664,Always promoting anti-Hindu shows.,1
abcc5ae3-c4e7-4a4d-b9c2-6d289cac70bc,No I'm not able to remove this app anymore 0 out of 5 On top it forces u to review or u can't review,1
1980811f-af25-409a-b66e-a20cc17d8baf,I love cause it has what i want go Netflix but where's the originals and legacies please put it soon,5
926de944-4768-43fd-93d5-45e7793a37fa,Ok,5
5f5e5259-2925-4126-b25f-9da325f401f5,"Worst customer service. Very scripted, refuse to take responsibility or provide any compensation when their streaming services fail on a device. Clearly the management is lacking in good business principles and want to make a cheap buck",1
ea20ac88-b025-4591-9e7d-4b003fc3f1ba,login keeps failing,1
a5c11597-f52e-4d23-b9fb-5c759b40210c,Jjonnm,4
c3f7c08e-72dc-4199-a93f-abfa5228e692,"maybe i share my experience to how use the netflix, it because so beautiful but very hard how to create an account, but solid haha",5
ef8bac14-8ee1-4127-be03-f570daba30d0,For an app who's sole purpose is to stream entertainment it's absolutely rubbish when casting or the like. Some of the content is ok but it fails as a versitile streaming app.,1
d08cb700-2f1a-4933-abe1-da54af1a070b,Child abuse,1
079a56b6-4ea6-47e4-ae22-3dc0a4de25fd,"App works fine but the company went back on everything it originally stood for. ""You'll own nothing and be happy."" Netflix originally was a better option than paying the outrageous prices of movies, but they've gotten so greedy that the monthly fee is about the cost of a movie, but you'll never own it. They promised no ads and said password sharing was ok, but went back on that. Would have given them a one star, but they are less deceptive about their ads than other services.",2
c83658b6-7a58-4840-84a6-db5bd88fef61,Useless app !!!! Bludyyy app never used app ..bakwas app,1
784da051-0235-47e5-b2d3-1b6f32fa722f,App is lagging my phone everytime I open it,3
8bf3521c-4de3-4234-a2d3-9567b661d208,The subtitles disable themselves and even if I turn them on....it still doesn't work,3
e07c3868-0355-490d-b71e-3b058eca7220,Nice 👍,5
15e1e5eb-de71-426e-b9ec-e262feabe0d5,sometimes the bookmarks dont show up while watching content or later on don't play when selected in the bookmarks tab. i wish something could be done about this,2
a3eb730e-2379-43d2-b763-fe6f435fd681,good,5
2bc17df8-8d2e-4959-885f-660481137080,love,3
e67b03a2-9484-4adf-aa5e-39ff87b212fc,I love this Netflix,5
c65e58af-a59c-48f7-820a-3f3caddda3f2,Where is Godzilla 2014 movie,5
12129986-804f-404f-b03e-b02fe936722f,Great service,5
7ef68d91-7c9c-4e79-83db-fbc1688b5f42,Good,5
f43efb41-58b4-4819-829f-f0971185eba3,Tried several times but cannot log in.😔 Tried getting to recover my password but no email has been sent for about 3 days.,1
6682bd7d-ad74-4255-be27-0a2f88a611f2,Good,5
4b082bc7-683b-4e76-8ab0-ae1dca792df6,wakeelAhmadineja,5
6c0d6564-117e-417e-a509-d3b723214228,Best app fOr movies,5
53a7a023-58e4-4e3f-91b2-40b22b6228a4,It shows device Failure occurred (500.-1025) What that means...,2
539bb6fa-2b0a-408d-a391-7ef7e811d53c,What the heck I can't uninstall it. Hello I don't even have a subscription.,1
c85d8b11-1cf9-4d73-9973-416366641fc2,Good 👍,4
61d71b52-7dfa-4197-ba03-efd1807f2b45,"Some of the worst subtitles ever done. Not everyone needs subtitles for everything that happens in a show, and for their anime (main reason I even use it) the subs are altered and literally every single thing that happens is subbed. I don't need a sneeze to have subtitles. Or a cough...",1
5b10da9f-6c4e-4b2c-bfda-eb1f8c1c527d,Expensive and poor picture quality,1
d0dc30da-9304-407b-9ac5-23234a03c8d0,YouTube is better then Netflix because we can watch a same videos freely,1
fcd27bcf-db0b-45b7-9a65-37650eb04011,hhaha,5
23a37183-2d7d-4e0a-a6ed-247d109aeb2a,The bloodline Roman Reigns Jackie Redmond wwe,5
075906c2-938f-4435-9209-28a554e83bac,Have had netflix since it first went digital. Canceled membership today. I'm not paying $8 extra dollars a month on top of the $16 I already pay for my 90 year old grandma to be able to watch now and then. In addition....now I can't even use my own account that I pay for on other TVs when I'm traveling for work or at a friends house? Get lost. I'll give Nana my other streaming passwords. Greedy nonsense.,1
dc63da01-34f2-4635-91d7-758b2ec68413,No me gustó lo de que tús dispositivos no formarán parte de tu hogar en Netflix,1
b5da73d3-9f7b-43c2-97da-1cbcf18a468e,"I have the premium account and the past few months, i seem to have a daily update on my Devices as I have two homes to come home to alternately and lately I keep on updating devices once or twice a day, what is going on with this. It's irritating and I am hanging on a thread thinking if I should cancel my account soon.",1
ccef58b9-033d-49a4-824b-f8afa488c912,"Alright, call me a hater if you want to.But Netflix has seriously got me twisted. I am paying for this with my money But yet I can't share my account The account that I am paying for.Im sorry come again I cant share something I'm paying for. Not cool😠",1
251d0a1f-4a1b-4b65-9115-04fa85c35068,Good,5
ac695912-a76e-4efa-8c38-15d02ad955be,"I hate the new addition of advertisements, which is unnecessary, especially when you are paying for a streaming service. Netflix used to be a nice platform, not anymore.",1
c3d08d02-47cc-4f83-b4de-eb1a3ef6b8d1,"When I got a T-Mobile plan that came with Netflix so I took it. It had been watch Netflix for years. Now they have changed their plan to a cheaper which includes ads. Almost all movies I've watched just freeze for a few seconds TV just when blank or black for 1 minute, then restart. If I got lucky with 1 movie, no ad I able to finish. Every other not so lucky, been dealing with this every time I watched Netflix. I have no problem with any other subscription like Amazon. Fix this Netflix.",2
7a1d0536-e045-48e0-9322-2dce940bbce3,Free paladstin,1
5918ff10-3f5f-4c58-a0d8-de033664f2ce,Love it once a year or two,5
63a4b675-d509-4a6f-9363-8456543f7bfa,"dissapointment, netflix has took many good games and if you want to play these you need a netflix account which you need to pay the membership for the account, and it really expensive. So yeah i can't play my fav game without paying netflix... I hate this",1
a9ee5746-3907-4f06-b4e5-3dfbed5eac26,Umer,1
5b11f4a0-6a5d-4c72-b577-9013720b54c7,NETFLIX WHERE'S THE 337 EPISODE OF ONE PIECE?!!! I WAS WATCHING 336 THEN THE NEXT EPISODE GOES TO EPISODE 1089?!!?? PLEASE FIX THIS,1
722f2e58-9c2f-4da5-8903-abf87e293990,Constantly crashing. Yet I'm paying more than ever. They charge for better quality. So what they can make it so you can't watch something through if you don't pay more. This is the only app that's ever asked me to pay for quality,1
4de3c108-72c4-44c8-839f-9da782d486ae,I don't understand it.,1
